CURRENT CONGREGATION,ORIGINAL CONGREGATION,FULL ADDRESS,ZIP CODE,YEAR ORIGINAL BUILDING COMPLETED,CIRCA/PRE/POST,ORIGINAL ARCHITECT,Phila Register (Ind),Phila Register (District),National Register (Ind),National Register (District),NHL,HABS,DATE SOURCE,ARCHITECT SOURCE,CITY COUNCIL,PLANNING DISTRICT,SINGLE BUILDING/COMPLEX,ORIGINAL FAITH,CURRENT FAITH,ADD1,ADD1YR,ADD1ARCH,ADD2,ADD2YR,ADD2ARCH,ADD3,ADD3YR,ADD3ARCH,ARTISANS,EXTMAT1,EXTMAT2,NOTES,DEMOLITION PERMITS (SINCE 2006),CENSUS OF STAINED GLASS,COVENANT ON FILE,COOPERMAN INVENTORY,CHANGE IN FAITH/DENOMINATION,TAX PARCEL #,AKA ADDRESS,OWNER1,OWNER2,CENSUS,Geocode Address,FOR SALE/SOLD/CLOSED/VACANT,UNSAFE/IMM.DANG.,Icon
APARTMENTS,SHILOH BAPTIST CHURCH; CHURCH OF THE ASCENSION (ORIGINAL),1112-1120 LOMBARD STREET,19147,1836,CIRCA,,NO,NO,NO,NO,NO,NO,COOPERMAN,,1,CENTRAL,,EPISCOPAL,ADAPTIVE REUSE,,,,,,,,,,,,,,,NO,NO,YES,YES,881008200,,WASHINGTON MEWS APTS,CORP,11,"1112  LOMBARD STREET Philadelphia, PA",,,small_red
SIMPSON-FLETCHER UNITED METHODIST CHURCH,FLETCHER UNITED METHODIST CHURCH?,6037 JEFFERSON STREET,19151,1912,CIRCA,BALLINGER & PERROT,NO,NO,NO,NO,NO,NO,PHMC-PAB,,4,WEST,,METHODIST,METHODIST,,,,,,,,,,,GRANITE,LIMESTONE,,,NO,NO,NO,NO,774196000,,MARY A SIMPSON M E,CHURCH,114,"6037  JEFFERSON STREET Philadelphia, PA",,,small_red
GOD'S GARDEN PRESCHOOL,ROXBOROUGH BAPTIST CHURCH,6035 RIDGE AVENUE,19128,1878,,UNKNOWN,NO,NO,NO,NO,NO,NO,PAB,,4,LOWER NORTHWEST,COMPLEX,BAPTIST,ADAPTIVE REUSE,"""ADDITIONS AND ALTERATIONS"" (PAB)",1926,PEACOCK & HOKANSON,,,,,,,,,,,,NO,NO,NO,YES,775281000,,ROXBOROUGH BAPTIST,CHURCH,212,"6035  RIDGE AVENUE Philadelphia, PA",,,small_red
CHURCH OF THE HOLY FAMILY,CHURCH OF THE HOLY FAMILY,240 HERMITAGE STREET,19127,1898,,EDWARD L. AVES; P.P. ELKINTON PATRICK KEELY & THOMAS LONSDALE (MANAYUNK CHURCHES WEBSITE),NO,NO,NO,NO,NO,NO,PCP,MANAYUNK CHURCHES WEBSITE,4,LOWER NORTHWEST,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,GRANITE,,,,NO,NO,NO,NO,775197000,,DENNIS J DOUGHERTY,,215,"240  HERMITAGE STREET Philadelphia, PA",,,small_red
SAMUEL S. FLEISCHER MEMORIAL ART SCHOOL,EPISCOPAL CHURCH OF THE EVANGELISTS,711-719 CATHARINE STREET,19147,1886,,"LOUIS C. BAKER, JR. (FURNESS, EVANS & CO.); OR CHARLES M. BURNS, JR.?",NO,NO,YES,NO,NO,NO,MOSS,MOSS,1,CENTRAL,,EPISCOPAL,ADAPTIVE REUSE,,,,,,,,,,ROBERT HENRI; HENRY MERCER; NICOLA D'ASCENZO; SAMUEL YELLIN; VIOLET OAKLEY,BRICK,STONE,SOLD TO SAMUEL FLEISHER IN 1922 (MOSS 102),,YES,NO,NO,YES,771505000,,PROVIDENT TRUST CO OF,PHILA SUB TRS EDWIN A,18,"711  CATHARINE STREET Philadelphia, PA",,,small_red
COMMUNITY CENTER?,WEST PHILADELPHIA FRIENDS MEETING HOUSE,3500 LANCASTER AVENUE,19104,1901,,BUNTING & SHRIGLEY,NO,NO,NO,NO,NO,YES,HABS,"PHMC-PAB, CLIO",3,UNIVERSITY/SOUTHWEST,,RELIGIOUS SOCIETY OF FRIENDS (QUAKER),ADAPTIVE REUSE,,,,,,,,,,,BRICK,LIMESTONE,,,NO,NO,NO,YES,783254400,,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,90,"3500  LANCASTER AVENUE Philadelphia, PA",,,small_red
HOLY ANGELS (KOREAN) CATHOLIC CHURCH,HOLY ANGELS CATHOLIC CHURCH,1321 70TH AVENUE,19126,1905,,HOWARD HAGER,NO,NO,NO,NO,NO,NO,"OUR FAITH-FILLED HERITAGE, P. 168",,9,UPPER NORTH,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,STONE,WOOD,,,NO,NO,NO,NO,776373000,7000 OLD YORK ROAD?,DENNIS J DOUGHERTY,,268,"1321  70TH AVENUE Philadelphia, PA",,,small_red
MATER DOLOROSA PARISH,MATER DOLOROSA CHURCH,4253 PAUL STREET,19124,1914,CIRCA,HARRY/HENRY HAMMER,NO,NO,NO,NO,NO,NO,PAB,,7,LOWER NORTHEAST,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,,,,,NO,NO,NO,NO,778247000,1676 RUAN STREET,DENNIS J DOUGHERTY IN,TRUST,294,"4253  PAUL STREET Philadelphia, PA",,,small_red
NATIVITY OF THE BLESSED VIRGIN MARY (B.V.M.) CATHOLIC CHURCH,NATIVITY OF THE BLESSED VIRGIN MARY (B.V.M.) CATHOLIC CHURCH,3200 BELGRADE STREET,19134,1916,,EDWIN F. DURANG,NO,NO,ELIGIBLE,NO,NO,NO,PHMC,,1,RIVER WARDS,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,BROWNSTONE,,,,YES,NO,NO,NO,777074000,2535 E. ALLEGHENY AVENUE,ARCHDIOCESE OF PHILA,,186,"3200  BELGRADE STREET Philadelphia, PA",,,small_red
OUR LADY HELP OF CHRISTIANS CATHOLIC CHURCH,OUR LADY HELP OF CHRISTIANS CATHOLIC CHURCH,2424 E. ALLEGHENY AVENUE,19134,1898,,ALBERT W. LEH,NO,NO,NO,NO,NO,NO,PAB,,1,RIVER WARDS,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,FRANZ MAYER & CO.,GRANITE,,,,YES,NO,NO,NO,777064000,,ARCHDIOCESE OF PHILA,,180,"2424 E. ALLEGHENY AVENUE Philadelphia, PA",,,small_red
OUR LADY OF HOPE CATHOLIC CHURCH-LOGAN,HOLY CHILD CATHOLIC CHURCH,5220-5222 N. BROAD STREET,19141,1928,,EDWIN F. DURANG; GEORGE I. LOVATT,NO,NO,NO,NO,NO,NO,PAB,PAB,8,UPPER NORTH,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,D'ASCENZO STUDIOS,GNEISS,,OUR LADY OF THE HOLY SOULS CLOSED IN 1993 AND BECAME OUR LADY OF HOPE WITH THE CONSOLIDATION OF SAINT STEPHEN'S PARISH. (PCP),,YES,NO,NO,NO,776081000,W. DUNCANNON AVENUE,DENNIS J DOUGHERTY,,281,"5220 N. BROAD STREET Philadelphia, PA",,,small_red
OUR LADY OF LOURDES CATHOLIC CHURCH,OUR LADY OF LOURDES CATHOLIC CHURCH,6301 WOODBINE AVENUE,19151,1895,,,NO,NO,NO,OVERBROOK FARMS,NO,NO,PCP,,4,WEST PARK,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,,,,,NO,NO,NO,NO,774332000,6315 LANCASTER AVENUE,REV DENNIS J DOUGHERTY,,116,"6301  WOODBINE AVENUE Philadelphia, PA",,,small_red
OUR LADY OF MOUNT CARMEL CATHOLIC CHURCH,OUR LADY OF MOUNT CARMEL CATHOLIC CHURCH,2301-2341 S. 3RD STREET,19148,1922,,THOMAS P. LONSDALE,NO,NO,NO,NO,NO,NO,PCP,,1,SOUTH,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,SCHIST,LIMESTONE,,,NO,NO,NO,NO,771196000,,MOST REV D J DOUGHERTY,,42,"2301 S. 3RD STREET Philadelphia, PA",,,small_red
OUR LADY OF THE BLESSED SACRAMENT,OUR LADY OF THE ROSARY CATHOLIC CHURCH,339 N. 63RD STREET,19139,1887,,"WATSON, EDKINS & THOMPSON",NO,NO,NO,NO,NO,NO,PCP,PAB,4,WEST,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,,,,,YES,NO,NO,NO,774472000,,MOST REV DENNIS J,DOUGHERTY IN TR,96,"339 N. 63RD STREET Philadelphia, PA",,,small_red
SACRED HEART OF JESUS CATHOLIC CHURCH,SACRED HEART OF JESUS CATHOLIC CHURCH,1406-1418 S. 3RD STREET,19147,1876,,EDWIN F. DURANG,NO,NO,NO,NO,NO,NO,PCP,,1,SOUTH,,ROMAN CATHOLIC,ROMAN CATHOLIC,ADDITIONS/ALTERATIONS (PAB),1898,"GEORGE IGNATIUS LOVATT, SR.",,,,,,,,GRANITE,LIMESTONE,,,NO,NO,NO,NO,771194000,REED STREET,DENNIS J DOUGHERTY,ARCHBISHOP OF PHILA,27,"1406 S. 3RD STREET Philadelphia, PA",,,small_red
SAINT CASIMIR CATHOLIC CHURCH,SAINT CASIMIR CATHOLIC CHURCH,324 WHARTON STREET,19147,1930,,HOFFMAN & HENON,NO,NO,NO,NO,NO,NO,"PHMC-PHC, CLIO","PHMC-PHC, CLIO",1,SOUTH,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,BRICK,LIMESTONE,,,NO,NO,NO,NO,771174810,,ARCHDIOCESE OF PHILA,,27,"324  WHARTON STREET Philadelphia, PA",,,small_red
SAINT CECILIA CATHOLIC CHURCH,SAINT CECILIA CATHOLIC CHURCH,535 RHAWN STREET,19111,1912,,,NO,NO,NO,NO,NO,NO,CONGREGATION WEBSITE,,10,CENTRAL NORTHEAST,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,MARBLE,,,DEM-REMOVE A / INSERT A TANK,NO,NO,NO,NO,778263000,,ST. CECELIA R C CHURCH,,341,"535  RHAWN STREET Philadelphia, PA",,,small_red
SAINT CHARLES BORROMEO CHURCH,SAINT CHARLES BORROMEO CHURCH,900 S. 20TH STREET,19146,1876,,EDWIN F. DURANG,NO,NO,NO,NO,NO,YES,PCP; COOPERMAN,COOPERMAN,2,CENTRAL,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,,,,,NO,NO,YES,NO,772307000,,REV DENNIS J DOUGHERTY,,19,"900 S. 20TH STREET Philadelphia, PA",,,small_red
SAINT GABRIEL CATHOLIC CHURCH,SAINT GABRIEL CATHOLIC CHURCH,1432-1448 S. 29TH STREET,19146,1902,CIRCA,,NO,NO,NO,NO,NO,NO,PAB REF,,2,SOUTH,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,,,,,NO,NO,NO,NO,773259000,2922-2928 DICKINSON STREET,THE MOST REV DENNIS J,DOUGHERTY ARCH BISHOP,33,"1432 S. 29TH STREET Philadelphia, PA",,,small_red
SAINT IGNATIUS OF LOYOLA CATHOLIC CHURCH,SAINT IGNATIUS OF LOYOLA CATHOLIC CHURCH,632-644 N. 43RD STREET,19104,1905,CIRCA,,NO,NO,NO,NO,NO,NO,PAB,,3,WEST,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,GRANITE,,,,NO,NO,NO,NO,774373000,,CARDINAL DENNIS J,DOUGHERTY,106,"632 N. 43RD STREET Philadelphia, PA",,,small_red
SAINT JOHN THE BAPTIST CATHOLIC CHURCH,SAINT JOHN THE BAPTIST CATHOLIC CHURCH,205 RECTOR STREET,19127,1894,,PATRICK C. KEELY,NO,NO,NO,NO,NO,NO,PCP; PAB,PAB,4,LOWER NORTHWEST,COMPLEX,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,,,,,YES,NO,NO,NO,775274000,146 RECTOR STREET (RECTORY),DENNIS J DOUGHERTY,,210,"205  RECTOR STREET Philadelphia, PA",,,small_red
"TRINITY EPISCOPAL CHURCH, OXFORD","TRINITY CHURCH, OXFORD",6901 RISING SUN AVENUE,19111,1711,,UNKNOWN,YES,NO,NO,NO,NO,YES,CONGREGATION WEBSITE,,10,CENTRAL NORTHEAST,COMPLEX,EPISCOPAL,EPISCOPAL,SUBSEQUENT WORK (HABS),1833,UNKNOWN,SUBSEQUENT WORK (HABS),1839,,TOWER EXPANSION (INHERITED; HABS; CHURCH WEBSITE),1875,FRANK FURNESS,,BRICK,,OLDEST EPISCOPAL CHURCH IN PENNSYLVANIA WITH CONTINUOUSLY-HELD SERVICES (MOSS),"? IN LIST, BUT NO DESCRIPTION",YES,NO,NO,NO,778270000,,RECTOR CHURCH WARDENS,VESTRYMAN OF TRINITY,307,"6901  RISING SUN AVENUE Philadelphia, PA",,,small_green
"SAINT MICHAEL'S CHAPEL, ARIA HEALTH SYSTEM: TORRESDALE CAMPUS",SAINT MICHAEL'S MISSION CENTER,10800 KNIGHTS ROAD,19154,1931,CIRCA,"GEORGE I. LOVATT, SR.",NO,NO,NO,NO,NO,NO,PAB REF,PAB,10,LOWER FAR NORTHEAST,,ROMAN CATHOLIC,ADAPTIVE REUSE,,,,,,,,,,D'ASCENZO STUDIOS,,,,,NO,NO,NO,YES,778017000,ESTIMATED ADDRESS/TAX PARCEL #,FRANKFORD HOSPITAL,TORRESDALE DIVISION,353,"10800  KNIGHTS ROAD Philadelphia, PA",,,small_red
SAINT THOMAS AQUINAS CATHOLIC CHURCH,SAINT THOMAS AQUINAS CATHOLIC CHURCH,1616 S. 17TH STREET,19145,1889,,,NO,NO,NO,NO,NO,NO,PCP,,2,SOUTH,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,,,,,NO,NO,NO,NO,773204000,1719 MORRIS STREET,REV DENNIS J DOUGHERTY,ARCHBISHOP OF PHILA,30,"1616 S. 17TH STREET Philadelphia, PA",,,small_red
GALILEE BAPTIST CHURCH,GALILEE BAPTIST CHURCH,459 ROXBOROUGH AVENUE,19128,1900,,KENNEDY & KELSEY,NO,NO,NO,NO,NO,NO,COOPERMAN,COOPERMAN,4,LOWER NORTHWEST,,BAPTIST,BAPTIST,,,,,,,,,,,SCHIST,,,,NO,NO,YES,NO,775299000,,GALILEE BAPTIST CHURCH,,210,"459  ROXBOROUGH AVENUE Philadelphia, PA",,,small_red
UNION BAPTIST CHURCH,UNION BAPTIST CHURCH,1910 FITZWATER STREET,19146,1913,,CHARLES W. BOLTON & SON,NO,NO,NO,NO,NO,NO,COOPERMAN,COOPERMAN,2,CENTRAL,,BAPTIST,BAPTIST,ALTERATIONS (COOPERMAN),1926,CHARLES BOLTON & SON,,,,,,,,GRANITE,TERRA COTTA,,,NO,NO,YES,NO,772129000,,UNION BAPTIST CHURCH,,14,"1910  FITZWATER STREET Philadelphia, PA",,,small_red
SAINT BARTHOLOMEW CATHOLIC CHURCH,SAINT BARTHOLOMEW CATHOLIC CHURCH,5364 JACKSON STREET,19124,1955,,,NO,NO,NO,NO,NO,NO,PCP,,6,LOWER NORTHEAST,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,,,,,NO,NO,NO,NO,778194000,,DENNIS J DOUGHERTY,,298,"5364  JACKSON STREET Philadelphia, PA",,,small_red
JANES MEMORIAL UNITED METHODIST CHURCH,JANES METHODIST EPISCOPAL CHURCH,47-51 E. HAINES STREET,19144,1928,,CHARLES PARKER,NO,NO,NO,NO,NO,NO,COOPERMAN,COOPERMAN,8,UPPER NORTHWEST,,METHODIST,METHODIST,,,,,,,,,,,,,,,YES,NO,YES,NO,775187000,,JAMES ME CHURCH INC,,246,"47 E. HAINES STREET Philadelphia, PA",,,small_red
SOUTHWESTERN PRESBYTERIAN CHURCH,SOUTHWESTERN PRESBYTERIAN CHURCH,2531 S. 70TH STREET,19142,1962,PRE,,NO,NO,NO,NO,NO,NO,PHILAGEOHISTORY,,2,LOWER SOUTHWEST,,PRESBYTERIAN,PRESBYTERIAN - PC(USA),,,,,,,,,,,BRICK,,,,NO,NO,NO,NO,773287000,BUIST AVENUE,THE TRUSTEE OF THE,PRESBYTERY OF PHILA,62,"2531 S. 70TH STREET Philadelphia, PA",,,small_red
THE ANTIQUARIAN'S DELIGHT (ANTIQUES MARKET),"CONGREGATION CHEVRA B'NAI REUBEN, ANSHE SFARD",615-621 S. 6TH STREET,19147,1904,,CHARLES W. BOLTON; J. DULL,NO,NO,INELIGIBLE,NO,NO,NO,,,1,CENTRAL,,JUDAISM,ADAPTIVE REUSE,,,,,,,,,,,BRICK,,CITY'S FIRST HASIDIC CONGREGATION (HSP - PHILAPLACE.ORG); CONGREGATION LEFT IN 1956,,NO,NO,NO,YES,23142110,,CRAVEN ALLEN,,16,"615 S. 6TH STREET Philadelphia, PA",,,small_red
SAINT PAUL�S EVANGELICAL LUTHERAN CHURCH OF OLNEY,SAINT PAUL�S EVANGELICAL LUTHERAN CHURCH OF OLNEY,5900 N. 5TH STREET,19120,,,,NO,NO,NO,NO,NO,NO,,,9,UPPER NORTH,,LUTHERAN,LUTHERAN,,,,,,,,,,,SCHIST,,,,NO,NO,NO,NO,776313000,,ST PAUL'S INDEPENDENT,EVANGELICAL LUTHERAN,275,"5900 N. 5TH STREET Philadelphia, PA",,,small_red
SECOND BAPTIST CHURCH OF FRANKFORD,SECOND BAPTIST CHURCH OF FRANKFORD,1800-1814 WILMOT STREET,19124,1910,CIRCA,,NO,NO,NO,NO,NO,NO,COOPERMAN,,7,LOWER NORTHEAST,,BAPTIST,BAPTIST,ENLARGEMENT,1923,WILLIAM CHARR,,,,,,,,,,,,NO,NO,YES,NO,778333000,1801 MEADOW STREET; 4647 MULBERRY STREET,SECOND BAPTIST CHURCH,OF FRANKFORD,300,"1800  WILMOT STREET Philadelphia, PA",,,small_red
MOUNT ZION BAPTIST CHURCH OF GERMANTOWN,MOUNT ZION BAPTIST CHURCH OF GERMANTOWN,37 W. RITTENHOUSE STREET,19144,1894,,DAVID S. GENDELL,NO,NO,NO,COLONIAL GERMANTOWN,NO,NO,COOPERMAN,COOPERMAN,8,UPPER NORTHWEST,,BAPTIST,BAPTIST,,,,,,,,,,,,,,,NO,NO,YES,NO,775291000,41 W. RITTENHOUSE STREET,MT ZION BAPTIST CHURCH,,238,"37 W. RITTENHOUSE STREET Philadelphia, PA",,,small_red
SAINT GEORGE'S CHURCH,,2700 E. VENANGO STREET,19134,,,,NO,NO,NO,NO,NO,NO,,,6,RIVER WARDS,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,777337000,3580 SALMON STREET,DENNIS J DOUGHERTY,,186,"2700 E. VENANGO STREET Philadelphia, PA",,,small_red
SAINT ADALBERT CATHOLIC CHURCH,SAINT ADALBERT CATHOLIC CHURCH,2639 E. ALLEGHENY AVENUE,19134,1908,,LOUIS GIELE,NO,NO,NO,NO,NO,NO,PCP,PAB,6,RIVER WARDS,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,,,,,YES,NO,NO,NO,777065000,E. THOMPSON STREET,ARCHDIOCESE OF PHILA,,186,"2639 E. ALLEGHENY AVENUE Philadelphia, PA",,,small_red
BETHESDA UNITED METHODIST CHURCH,BETHESDA METHODIST EPISCOPAL CHURCH/OLIVET METHODIST CHURCH ? (PHMC),2820-2824 E. VENANGO STREET,19134,1865,,,NO,NO,ELIGIBLE,NO,NO,NO,NO PAB; NO PCHP,NO PAB,6,RIVER WARDS,,METHODIST,METHODIST,,,,,,,,,,,,,,,NO,NO,NO,NO,777338000,,BETHES METHODIST,EPISCOPAL CHURCH,182,"2820 E. VENANGO STREET Philadelphia, PA",,,small_red
SAINT JOACHIM ROMAN CATHOLIC CHURCH,SAINT JOACHIM ROMAN CATHOLIC CHURCH,1501-1525 CHURCH STREET,19124,1981,,RONALD KNABB (KNABB ASSOCIATES),NO,NO,NO,NO,NO,NO,"OUR FAITH-FILLED HERITAGE, P. 146",WIKIPEDIA,7,LOWER NORTHEAST,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,BROWNSTONE,,,,NO,NO,NO,NO,778114000,,DENNIS J DOUGHERTY TR,ST JOACHIMS,293,"1501  CHURCH STREET Philadelphia, PA",,,small_red
SAINT BARBARA�S CATHOLIC CHURCH,SAINT BARBARA'S ROMAN CATHOLIC CHAPEL,5343 LEBANON AVENUE,19131,1929,,PETER F. GETZ,NO,NO,NO,NO,NO,NO,"OUR FAITH-FILLED HERITAGE, P. 182",,4,WEST,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,GRANITE,SANDSTONE,,,NO,NO,NO,NO,774240000,,REV DENNIS J DOUGHERTY,,119,"5343  LEBANON AVENUE Philadelphia, PA",,,small_red
FOX CHASE UNITED METHODIST CHURCH,FOX CHASE METHODIST EPISCOPAL CHURCH,7945 FILLMORE STREET,19111,1958,,,NO,NO,NO,NO,NO,NO,NO PAB DATE; NO PCHP,,10,CENTRAL NORTHEAST,,METHODIST,METHODIST,,,,,,,,,,,,,,,NO,NO,NO,NO,778147000,201 LONEY STREET,FOX CHASE M E CHURCH,,341,"7945  FILLMORE STREET Philadelphia, PA",,,small_red
SAINT EDMOND CATHOLIC CHURCH,SAINT EDMOND CATHOLIC CHURCH,2100 S. 21ST STREET,19145,1912,,"HENRY D. DAGIT & SONS; GEORGE IGNATIUS LOVATT, SR.",NO,NO,NO,NO,NO,NO,PAB,PAB,2,SOUTH,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,BRICK,,,,NO,NO,NO,NO,773235000,,ARCHDIOCESE OF PHILA,ST EDMONDS CHURCH,37,"2100 S. 21ST STREET Philadelphia, PA",,,small_red
APARTMENTS? CHRISTIAN TABERNACLE CHURCH OF GOD IN CHRIST?,SAINT MARY OF THE ETERNAL CATHOLIC CHURCH,2220-2228 W. CLEARFIELD STREET,19132,1921,,,NO,NO,NO,NO,NO,NO,PHPC,,8,NORTH,,ROMAN CATHOLIC,ADAPTIVE REUSE,,,,,,,,,,,GRANITE,,,,NO,NO,NO,YES,886900400,,ALLEGHENY WEST FOUNDATION,,172,"2222 W. CLEARFIELD STREET Philadelphia, PA",,,small_red
ALBANIAN ORTHODOX CHURCH OF SAINT JOHN CHRYSOSTOM,EPISCOPAL CHURCH OF THE ATONEMENT,237 N. 17TH STREET,19103,1848,,NAPOLEON LEBRUN,NO,NO,NO,NO,NO,NO,SACRED SITES OF CENTER CITY (GALLERY),SACRED SITES OF CENTER CITY (GALLERY),5,CENTRAL,,EPISCOPAL,ALBANIAN ORTHODOX,,,,,,,,,,,GRANITE,,,,NO,NO,NO,YES,772269400,,ALBANIAN ORTHODOX,CHURCH OF ST JOHN,3,"237 N. 17TH STREET Philadelphia, PA",,,small_red
FIRST CHRISTIAN ASSEMBLY,CHIESA CHRISTIANA HALIANA?,1900 S. 11TH STREET,19148,1890,CIRCA,THOMAS P. LONSDALE,NO,NO,NO,NO,NO,NO,PHMC-PAB,PAB,1,SOUTH,,,NON-DENOMINATIONAL,,,,,,,,,,,BRICK,,,,NO,NO,NO,,771255000,,NICOLA FLANNINA,SAVERIO AMICONE,40,"1900 S. 11TH STREET Philadelphia, PA",,,small_red
SUNSHINE SENIOR CENTER,ROTHCHILD MEMORIAL SYNAGOGUE,137 S. 58TH STREET,19139,1914,,LOUIS LEVI,NO,NO,NO,NO,NO,NO,PHPC,PHPC,3,WEST,,JUDAISM,ADAPTIVE REUSE,,,,,,,,,,,,,,,NO,NO,NO,YES,774713050,,WEST PHILA COMMUNITY,MENTAL HEALTH CONSORTIUM,84,"137 S. 58TH STREET Philadelphia, PA",,,small_red
FRANKFORD MEMORIAL UNITED METHODIST CHURCH,FRANKFORD MEMORIAL METHODIST CHURCH,1300 DYRE STREET,19124,1912,,HORACE W. CASTOR,NO,NO,NO,NO,NO,NO,PAB,,6,LOWER NORTHEAST,,METHODIST,METHODIST,,,,,,,,,,,SCHIST,,,,YES,NO,NO,NO,778144500,,FKD MEMORIAL UNITED,METHODIST CHURCH,302,"1300  DYRE STREET Philadelphia, PA",,,small_red
SAINT ANDREW�S RUSSIAN ORTHODOX CATHEDRAL,SAINT ANDREW'S RUSSION ORTHODOX CATHEDRAL,709-711 N. 5TH STREET,19123,1911,,ANDERSON & HAUPT,NO,NO,NO,NO,NO,YES,HABS,HABS,5,CENTRAL,,RUSSIAN ORTHODOX,RUSSIAN ORTHODOX,ANNEX (HABS),1956,UNKNOWN,,,,,,,GEORGE NOVIKOV; SAMUEL FREDERICK (UNCONFIRMED);,BRICK,GRANITE,,,NO,NO,NO,NO,771208000,,ORTHODOX RUSSIAN,CHURCH OF ST. ANDREW,130,"709 N. 5TH STREET Philadelphia, PA",,,small_red
THE ROTUNDA,"FIRST CHURCH OF CHRIST, SCIENTIST",4008-4026 WALNUT STREET,19104,,,,YES,NO,NO,NO,NO,NO,,,3,UNIVERSITY/SOUTHWEST,,"CHURCH OF CHRIST, SCIENTIST",ADAPTIVE REUSE,,,,,,,,,,,,,,,NO,NO,NO,YES,773161001,,TRS UNIV OF PENN,,88,"4008  WALNUT STREET Philadelphia, PA",,,small_green
KENCREST CHILDHOOD CENTER: KENSINGTON CENTER,WILKEY MEMORIAL PRESBYTERIAN CHURCH,901 E. ONTARIO STREET,19134,,,,NO,NO,NO,NO,NO,NO,,,7,NORTH,,PRESBYTERIAN,ADAPTIVE REUSE,,,,,,,,,,,,,,,NO,NO,NO,YES,777271005,H STREET,KEN CREST SERVICES,,192,"901 E. ONTARIO STREET Philadelphia, PA",,,small_red
SAINT MARTIN OF TOURS CATHOLIC CHURCH,SAINT MARTIN OF TOURS CATHOLIC CHURCH,5400 E. ROOSEVELT BOULEVARD,19124,1949,,PETER F. GETZ,NO,NO,NO,NO,NO,NO,PCP,,9,LOWER NORTHEAST,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,,,,,NO,NO,NO,NO,778271000,,ARCHDIOCESE OF PHILA,,303,"5400 E. ROOSEVELT BOULEVARD Philadelphia, PA",,,small_red
LEVERINGTON PRESBYTERIAN CHURCH,LEVERINGTON PRESBYTERIAN CHURCH,6307 RIDGE AVENUE,19128,1926,,WALTER H. THOMAS (MARTIN & KIRKPATRICK),NO,NO,NO,NO,NO,NO,,,4,LOWER NORTHWEST,,PRESBYTERIAN,PRESBYTERIAN - PC(USA),,,,,,,,,,,,,,,NO,NO,NO,NO,775282000,,LEVERINGTON,PRESBYTERIAN CHURCH OF,217,"6307  RIDGE AVENUE Philadelphia, PA",,,small_red
SAINT VALENTINE'S POLISH NATIONAL CATHOLIC CHURCH,SAINT VALENTINE'S POLISH NATIONAL CATHOLIC CHURCH,2326-2328 MARGARET STREET,19137,1927,,HORACE W. CASTOR,NO,NO,INELIGIBLE,NO,NO,NO,PHMC; MAPS CONFIRM CHURCH BETWEEN 1910 AND 1942,,6,RIVER WARDS,,POLISH NATIONAL CATHOLIC,POLISH NATIONAL CATHOLIC,,,,,,,,,,,BRICK,,,,NO,NO,NO,NO,777249000,,ST VALENTINES POLISH,CHURCH,296,"2326  MARGARET STREET Philadelphia, PA",,,small_red
MOUNT CARMEL BAPTIST CHURCH,MOUNT CARMEL BAPTIST CHURCH,5728-5748 RACE STREET,19139,1915,CIRCA,HENRY DEHOFF,NO,NO,NO,NO,NO,NO,PAB REF,PAB REF,4,WEST,,BAPTIST,BAPTIST,ADDITIONS/ALTERATIONS (PAB),CIRCA 1938,CHARLES W. BOLTON & SON,,,,,,,,GRANITE,,,,NO,NO,YES,NO,774292000,,MT CARMEL BAP CHURCH,,94,"5728  RACE STREET Philadelphia, PA",,,small_red
